Round,Accuracy,Loss,Dropped Client Ratio
1,0.13159999921917914,2.3276839542388914,12.0
2,0.13360000014305115,2.3119871711730955,24.0
3,0.1767999994754791,2.270761604309082,16.0
4,0.16119999974966048,2.271701488494873,28.0
5,0.15839999988675119,2.4899442768096924,20.0
6,0.12960000187158585,2.326987581253052,32.0
7,0.1471999989449978,2.3238028049468995,28.0
8,0.14360000044107438,2.486116065979004,16.0
9,0.14600000023841858,2.4856072425842286,28.0
10,0.16480000346899032,2.519728021621704,24.0
11,0.13199999898672105,2.375892848968506,36.0
12,0.15880000099539757,2.3245232582092283,40.0
13,0.14399999871850014,2.723544282913208,16.0
14,0.13240000128746032,2.319855794906616,20.0
15,0.11919999957084655,2.5876036739349364,8.0
16,0.14920000053942203,2.3712393474578857,36.0
17,0.15640000015497207,2.5226360511779786,32.0
18,0.17960000216960906,2.4401938915252686,36.0
19,0.17919999986886978,2.67669997215271,20.0
20,0.17560000002384185,2.421594276428223,24.0
21,0.14919999927282335,2.549775171279907,32.0
22,0.19480000272393228,2.4931328296661377,44.0
23,0.1844000005722046,2.574296236038208,24.0
24,0.15679999873042105,2.7170701026916504,12.0
25,0.20319999873638153,2.421013355255127,24.0
26,0.18439999997615814,2.5090039443969725,16.0
27,0.1992000013589859,2.423613576889038,20.0
28,0.17200000077486038,2.896090908050537,32.0
29,0.17480000197887421,2.418296718597412,20.0
30,0.17640000015497206,2.4939267158508303,44.0
31,0.20159999996423722,2.7371009540557862,16.0
32,0.18600000098347663,2.6042890453338625,24.0
33,0.14640000194311142,2.7073306941986086,36.0
34,0.19079999789595603,2.6578563022613526,28.0
35,0.16879999935626983,2.537077703475952,28.0
36,0.19000000149011612,2.6760007667541506,24.0
37,0.17000000089406966,3.025285482406616,20.0
38,0.20480000138282775,2.532213611602783,20.0
39,0.2120000010728836,2.737749471664429,32.0
40,0.19519999861717224,2.8238856983184815,20.0
41,0.17080000057816505,2.7596324920654296,12.0
42,0.22840000063180924,2.5181022453308106,28.0
43,0.20799999922513962,2.6121369934082033,16.0
44,0.1903999987244606,2.87422324180603,16.0
45,0.16800000056624412,2.778337097167969,32.0
46,0.15479999974370004,2.7071689128875733,36.0
