Round,Accuracy,Loss,Uncomplete Ratio,Epoch Mean
1,0.2199999988079071,3.894639253616333,20.0,5.0
2,0.25,3.779595375061035,28.0,5.0
3,0.4000000059604645,2.340081214904785,32.0,4.816
4,0.4399999976158142,1.5810341835021973,12.0,4.634
5,0.44999998807907104,1.960221767425537,20.0,4.45
6,0.5799999833106995,1.3688846826553345,20.0,4.274
7,0.699999988079071,0.9794911742210388,32.0,4.122
8,0.4699999988079071,1.4284107685089111,24.0,3.978
9,0.6299999952316284,1.0586042404174805,24.0,3.834
10,0.6200000047683716,0.9634380340576172,20.0,3.69
11,0.7300000190734863,0.8212748765945435,20.0,3.584
12,0.6600000262260437,1.1178210973739624,8.0,3.516
13,0.6800000071525574,0.8627886176109314,8.0,3.388
14,0.6600000262260437,1.0745654106140137,28.0,3.272
15,0.7200000286102295,0.7627137899398804,20.0,3.136
16,0.6800000071525574,0.9621093273162842,4.0,3.056
17,0.7699999809265137,0.5921086072921753,8.0,2.982
18,0.7300000190734863,0.8201972246170044,4.0,2.888
19,0.7099999785423279,0.8752034902572632,16.0,2.834
20,0.5699999928474426,1.5838227272033691,20.0,2.718
21,0.6100000143051147,1.0343152284622192,4.0,2.638
22,0.7099999785423279,0.8058708310127258,8.0,2.564
23,0.6600000262260437,0.9599913954734802,16.0,2.474
24,0.7099999785423279,0.7945752143859863,0.0,2.538
25,0.7200000286102295,0.7382570505142212,8.0,2.454
26,0.699999988079071,0.7547805905342102,0.0,2.538
27,0.6299999952316284,1.0228769779205322,12.0,2.482
28,0.7300000190734863,0.8474870324134827,4.0,2.414
29,0.699999988079071,0.770602285861969,4.0,2.368
30,0.7400000095367432,0.7857503294944763,4.0,2.322
31,0.6800000071525574,1.2954134941101074,8.0,2.25
32,0.7599999904632568,0.7400204539299011,4.0,2.168
33,0.7099999785423279,0.9218001365661621,8.0,2.122
34,0.7200000286102295,0.9046734571456909,0.0,2.224
35,0.7599999904632568,0.7925196290016174,8.0,2.178
36,0.6399999856948853,0.955043613910675,16.0,2.098
37,0.7599999904632568,0.6848152875900269,12.0,2.04
38,0.6899999976158142,0.9120628237724304,4.0,1.966
39,0.6499999761581421,0.845602810382843,0.0,2.058
40,0.7200000286102295,0.8469951152801514,16.0,2.006
41,0.6800000071525574,0.8833229541778564,4.0,1.948
42,0.699999988079071,0.8923893570899963,4.0,1.894
43,0.699999988079071,0.8402677178382874,4.0,1.834
44,0.6700000166893005,0.9773827195167542,4.0,1.796
45,0.7799999713897705,0.5616520047187805,8.0,1.722
46,0.7699999809265137,0.613239049911499,8.0,1.674
47,0.7699999809265137,0.579287052154541,8.0,1.624
48,0.800000011920929,0.5591427683830261,8.0,1.572
49,0.7400000095367432,0.900300920009613,0.0,1.664
50,0.7699999809265137,0.68681800365448,4.0,1.634
51,0.7799999713897705,0.7545316815376282,4.0,1.618
52,0.7200000286102295,0.7066202759742737,4.0,1.588
53,0.8100000023841858,0.5348573923110962,4.0,1.55
54,0.7699999809265137,0.669322669506073,4.0,1.532
55,0.7400000095367432,0.7673268914222717,0.0,1.634
56,0.7400000095367432,0.7612609267234802,8.0,1.61
57,0.7099999785423279,0.9285137057304382,0.0,1.736
58,0.7099999785423279,0.8961942791938782,0.0,1.858
59,0.6899999976158142,0.7440071105957031,8.0,1.852
60,0.8199999928474426,0.5455011129379272,12.0,1.82
61,0.7400000095367432,0.6660100817680359,8.0,1.78
62,0.75,0.7045652866363525,8.0,1.73
63,0.7099999785423279,0.9077200293540955,0.0,1.822
64,0.8100000023841858,0.6773356795310974,16.0,1.76
65,0.7699999809265137,0.6712788939476013,4.0,1.714
66,0.7799999713897705,0.6549331545829773,0.0,1.824
67,0.7200000286102295,0.8762202262878418,4.0,1.782
68,0.7799999713897705,0.5888416171073914,0.0,1.884
69,0.7799999713897705,0.6318860054016113,4.0,1.852
70,0.7200000286102295,0.6797766089439392,4.0,1.808
71,0.7900000214576721,0.7287862300872803,8.0,1.762
72,0.7099999785423279,0.8551455736160278,4.0,1.722
73,0.8100000023841858,0.6084802746772766,12.0,1.686
74,0.7900000214576721,0.5877386331558228,0.0,1.768
75,0.8100000023841858,0.4913889169692993,0.0,1.868
76,0.6899999976158142,0.8387141227722168,4.0,1.79
77,0.7900000214576721,0.8107005953788757,12.0,1.746
78,0.8399999737739563,0.5912888050079346,0.0,1.846
79,0.7699999809265137,0.5406802892684937,4.0,1.818
80,0.75,0.6447374224662781,0.0,1.904
81,0.8399999737739563,0.5189417004585266,8.0,1.88
82,0.8199999928474426,0.5317708849906921,0.0,1.966
83,0.75,0.6854181885719299,0.0,2.044
84,0.7799999713897705,0.6563668251037598,4.0,2.018
85,0.7699999809265137,0.6143980026245117,0.0,2.154
86,0.7200000286102295,0.7714049816131592,4.0,2.092
87,0.7799999713897705,0.6553876996040344,8.0,2.05
88,0.7900000214576721,0.6007883548736572,4.0,2.006
89,0.7200000286102295,0.6534726023674011,0.0,2.088
90,0.6499999761581421,0.8878252506256104,0.0,2.184
91,0.7400000095367432,0.7769402265548706,0.0,2.3
92,0.6200000047683716,1.0493137836456299,12.0,2.222
93,0.699999988079071,0.7945943474769592,0.0,2.32
94,0.6899999976158142,0.8371225595474243,4.0,2.29
95,0.7099999785423279,0.8608229756355286,4.0,2.236
96,0.7900000214576721,0.47825103998184204,0.0,2.28
97,0.7699999809265137,0.5203227996826172,4.0,2.194
98,0.8100000023841858,0.570860743522644,8.0,2.122
99,0.7699999809265137,0.70856112241745,8.0,2.092
100,0.800000011920929,0.7672143578529358,4.0,2.048
101,0.75,0.7529869079589844,4.0,2.008
102,0.800000011920929,0.5897672772407532,0.0,2.104
103,0.8299999833106995,0.47339266538619995,8.0,2.042
104,0.8600000143051147,0.5432047247886658,4.0,2.012
105,0.7599999904632568,0.6974545121192932,0.0,2.102
106,0.7900000214576721,0.5770108699798584,4.0,2.074
107,0.7699999809265137,0.7168498039245605,0.0,2.16
108,0.7900000214576721,0.5670865774154663,0.0,2.256
109,0.699999988079071,0.8832569718360901,4.0,2.178
110,0.75,0.7319936156272888,8.0,2.086
111,0.8199999928474426,0.5623230934143066,0.0,2.2
112,0.7400000095367432,0.7085049152374268,4.0,2.14
113,0.7699999809265137,0.6338733434677124,4.0,2.108
114,0.8299999833106995,0.35276007652282715,4.0,2.056
115,0.7300000190734863,0.7332170009613037,4.0,1.972
116,0.7099999785423279,0.6720597147941589,0.0,2.098
117,0.7900000214576721,0.5739029049873352,4.0,2.052
118,0.7900000214576721,0.6243726015090942,12.0,1.976
119,0.7599999904632568,0.7107269763946533,0.0,2.074
120,0.7300000190734863,0.6948909759521484,4.0,2.04
121,0.7599999904632568,0.6855394840240479,4.0,1.966
122,0.8999999761581421,0.29773950576782227,4.0,1.938
123,0.7900000214576721,0.5561863780021667,0.0,2.054
124,0.7900000214576721,0.6826441287994385,4.0,1.996
125,0.7300000190734863,0.7335677146911621,4.0,1.928
126,0.8899999856948853,0.4985451400279999,0.0,1.996
127,0.7400000095367432,0.7792922854423523,0.0,2.126
128,0.8100000023841858,0.6707548499107361,4.0,2.07
129,0.7699999809265137,0.711320161819458,4.0,2.04
130,0.800000011920929,0.5837328433990479,12.0,1.974
131,0.8100000023841858,0.5810420513153076,0.0,2.078
132,0.7699999809265137,0.6010473370552063,4.0,2.046
133,0.8100000023841858,0.5292716026306152,0.0,2.15
134,0.7900000214576721,0.5426099300384521,0.0,2.222
135,0.7599999904632568,0.7134213447570801,8.0,2.136
136,0.8100000023841858,0.48021167516708374,4.0,2.088
137,0.8799999952316284,0.4122384786605835,0.0,2.184
138,0.7200000286102295,0.6218490600585938,0.0,2.282
139,0.7799999713897705,0.6597105264663696,8.0,2.25
140,0.8399999737739563,0.4464990496635437,4.0,2.17
141,0.8299999833106995,0.5198835134506226,4.0,2.12
142,0.7900000214576721,0.5781865119934082,4.0,2.076
143,0.8100000023841858,0.5217103362083435,8.0,2.006
144,0.7900000214576721,0.611039400100708,4.0,1.948
145,0.7799999713897705,0.6044553518295288,16.0,1.88
146,0.7400000095367432,0.8244587182998657,4.0,1.846
147,0.6800000071525574,0.8680883049964905,4.0,1.798
148,0.800000011920929,0.5326917767524719,8.0,1.742
149,0.800000011920929,0.6032726764678955,0.0,1.848
150,0.75,0.6786484718322754,0.0,1.954
151,0.8799999952316284,0.38469037413597107,4.0,1.91
152,0.800000011920929,0.6313947439193726,0.0,2.012
153,0.7300000190734863,0.7086246013641357,8.0,1.942
154,0.7900000214576721,0.5419700145721436,8.0,1.888
155,0.7699999809265137,0.5984266400337219,4.0,1.836
156,0.7699999809265137,0.7884252667427063,8.0,1.792
157,0.6800000071525574,0.9268907308578491,4.0,1.75
158,0.7699999809265137,0.765340268611908,8.0,1.714
159,0.7300000190734863,0.8584790229797363,4.0,1.682
160,0.7599999904632568,0.635515570640564,8.0,1.658
