Round,Accuracy,Loss,Dropped Client Ratio
1,0.1599999964237213,2.2688684463500977,48.0
2,0.1899999976158142,2.267002820968628,44.0
3,0.12999999523162842,2.2998664379119873,48.0
4,0.1599999964237213,2.2245285511016846,52.0
5,0.12999999523162842,2.257357120513916,52.0
6,0.10999999940395355,2.244194984436035,40.0
7,0.23000000417232513,2.259800910949707,36.0
8,0.2199999988079071,2.246368408203125,36.0
9,0.20999999344348907,2.235445976257324,28.0
10,0.12999999523162842,2.2636196613311768,44.0
11,0.23000000417232513,2.1999666690826416,36.0
12,0.12999999523162842,2.262362480163574,52.0
13,0.12999999523162842,2.2405922412872314,44.0
14,0.20999999344348907,2.2553789615631104,64.0
15,0.18000000715255737,2.193859100341797,44.0
16,0.18000000715255737,2.2191667556762695,28.0
17,0.3199999928474426,2.195556879043579,44.0
18,0.20999999344348907,2.2492995262145996,60.0
19,0.05999999865889549,2.241642475128174,56.0
20,0.2199999988079071,2.209707498550415,44.0
21,0.11999999731779099,2.19124436378479,60.0
22,0.44999998807907104,2.179656744003296,40.0
23,0.36000001430511475,2.1272428035736084,32.0
24,0.3499999940395355,2.1665234565734863,20.0
25,0.25999999046325684,2.185486078262329,40.0
26,0.3199999928474426,2.1381616592407227,36.0
27,0.15000000596046448,2.149643659591675,44.0
28,0.2800000011920929,2.1722912788391113,48.0
29,0.27000001072883606,2.158745765686035,52.0
30,0.2199999988079071,2.1618218421936035,48.0
31,0.41999998688697815,2.0676770210266113,44.0
32,0.2800000011920929,2.154492139816284,44.0
33,0.27000001072883606,2.0754446983337402,32.0
34,0.33000001311302185,2.048142194747925,36.0
35,0.33000001311302185,2.076763153076172,48.0
36,0.33000001311302185,2.1560299396514893,40.0
37,0.36000001430511475,2.1424829959869385,44.0
38,0.28999999165534973,2.176677942276001,44.0
39,0.46000000834465027,2.103064775466919,52.0
40,0.3199999928474426,2.051255941390991,56.0
41,0.4300000071525574,2.0810563564300537,56.0
42,0.41999998688697815,2.076538324356079,44.0
43,0.4099999964237213,2.095125436782837,44.0
44,0.23000000417232513,2.106074333190918,36.0
45,0.25,2.094020128250122,36.0
46,0.28999999165534973,2.062723398208618,60.0
47,0.17000000178813934,2.0785627365112305,48.0
48,0.25,2.0554556846618652,40.0
49,0.3400000035762787,2.03361177444458,40.0
50,0.3100000023841858,2.046271800994873,40.0
51,0.28999999165534973,2.1333324909210205,44.0
52,0.2800000011920929,2.106332302093506,48.0
53,0.3799999952316284,1.9925367832183838,36.0
54,0.3799999952316284,1.9911129474639893,40.0
55,0.3799999952316284,1.969722867012024,36.0
56,0.3499999940395355,1.9728471040725708,56.0
57,0.30000001192092896,2.0124635696411133,28.0
58,0.4300000071525574,1.8396797180175781,40.0
59,0.5400000214576721,1.9178379774093628,36.0
60,0.41999998688697815,1.918819546699524,64.0
61,0.44999998807907104,1.8692129850387573,40.0
62,0.4099999964237213,1.9415977001190186,32.0
63,0.33000001311302185,1.9364845752716064,44.0
64,0.3499999940395355,1.9235069751739502,44.0
65,0.41999998688697815,1.9174381494522095,52.0
66,0.4000000059604645,1.856815218925476,24.0
67,0.3400000035762787,1.9038376808166504,28.0
68,0.4099999964237213,1.8310683965682983,40.0
69,0.550000011920929,1.7713907957077026,52.0
70,0.3799999952316284,1.9125561714172363,48.0
71,0.28999999165534973,1.9092172384262085,32.0
72,0.4699999988079071,1.7977385520935059,40.0
73,0.5899999737739563,1.7608822584152222,48.0
74,0.3199999928474426,1.8264139890670776,44.0
75,0.46000000834465027,1.8483200073242188,24.0
76,0.3400000035762787,1.787776231765747,32.0
77,0.33000001311302185,1.8152917623519897,48.0
78,0.3400000035762787,1.8356224298477173,32.0
79,0.5099999904632568,1.7643870115280151,56.0
80,0.3700000047683716,1.7707836627960205,28.0
81,0.46000000834465027,1.7252124547958374,48.0
82,0.44999998807907104,1.7659298181533813,40.0
83,0.3700000047683716,1.867447853088379,40.0
84,0.4300000071525574,1.8267751932144165,56.0
85,0.5199999809265137,1.7374151945114136,32.0
86,0.6299999952316284,1.5112965106964111,40.0
87,0.5400000214576721,1.6092497110366821,40.0
88,0.49000000953674316,1.6395459175109863,36.0
89,0.5400000214576721,1.598994255065918,44.0
90,0.4000000059604645,1.7291953563690186,40.0
91,0.5199999809265137,1.7199457883834839,44.0
92,0.47999998927116394,1.5681663751602173,44.0
93,0.47999998927116394,1.6898443698883057,32.0
94,0.30000001192092896,1.6563448905944824,32.0
95,0.49000000953674316,1.7668238878250122,52.0
96,0.5299999713897705,1.6240525245666504,28.0
97,0.49000000953674316,1.6534326076507568,44.0
98,0.4300000071525574,1.6784287691116333,40.0
99,0.4300000071525574,1.5809842348098755,52.0
100,0.550000011920929,1.6678065061569214,52.0
101,0.4399999976158142,1.6598095893859863,36.0
102,0.5,1.6298842430114746,40.0
103,0.47999998927116394,1.5715593099594116,48.0
104,0.5,1.6436046361923218,48.0
105,0.6000000238418579,1.6013680696487427,48.0
106,0.4099999964237213,1.612930178642273,56.0
107,0.38999998569488525,1.6075465679168701,48.0
108,0.6399999856948853,1.5343022346496582,48.0
109,0.5099999904632568,1.6474103927612305,24.0
110,0.5299999713897705,1.523666501045227,44.0
111,0.4300000071525574,1.5091499090194702,40.0
112,0.4699999988079071,1.4791451692581177,40.0
113,0.46000000834465027,1.5608611106872559,52.0
114,0.49000000953674316,1.5156055688858032,36.0
115,0.4399999976158142,1.4529021978378296,36.0
116,0.47999998927116394,1.5424481630325317,32.0
117,0.5400000214576721,1.410139560699463,48.0
118,0.46000000834465027,1.5258848667144775,36.0
119,0.5,1.4605523347854614,44.0
120,0.3700000047683716,1.524743676185608,24.0
121,0.46000000834465027,1.600257396697998,48.0
122,0.5199999809265137,1.4468061923980713,32.0
123,0.4399999976158142,1.4917597770690918,56.0
124,0.4699999988079071,1.4214792251586914,40.0
125,0.6100000143051147,1.342768669128418,60.0
126,0.47999998927116394,1.5755698680877686,36.0
127,0.5400000214576721,1.4213457107543945,40.0
128,0.5299999713897705,1.355317234992981,48.0
129,0.6299999952316284,1.4265530109405518,64.0
130,0.550000011920929,1.4110593795776367,40.0
