Round,Accuracy,Loss,Uncomplete Ratio,Epoch Mean
1,0.27000001072883606,4.690617561340332,48.0,5.0
2,0.36000001430511475,4.007112979888916,36.0,5.0
3,0.30000001192092896,2.4763805866241455,40.0,4.8
4,0.3700000047683716,1.987241268157959,48.0,4.616
5,0.47999998927116394,1.6171284914016724,36.0,4.46
6,0.5199999809265137,1.6693110466003418,32.0,4.292
7,0.6499999761581421,1.1521116495132446,32.0,4.164
8,0.5799999833106995,1.3904682397842407,28.0,4.064
9,0.5899999737739563,1.3734245300292969,44.0,3.944
10,0.6000000238418579,1.106918215751648,36.0,3.8
11,0.5899999737739563,1.1565605401992798,24.0,3.712
12,0.6299999952316284,1.0642433166503906,32.0,3.584
13,0.6200000047683716,1.2831248044967651,16.0,3.44
14,0.46000000834465027,1.8621165752410889,24.0,3.362
15,0.6000000238418579,1.0877411365509033,36.0,3.21
16,0.6800000071525574,0.9620254635810852,32.0,3.114
17,0.6800000071525574,0.7472185492515564,36.0,3.034
18,0.7200000286102295,0.9645323753356934,24.0,2.962
19,0.6600000262260437,1.0416615009307861,16.0,2.85
20,0.7699999809265137,0.7984952330589294,12.0,2.78
21,0.6899999976158142,0.8186174035072327,20.0,2.684
22,0.7099999785423279,0.8016443848609924,8.0,2.588
23,0.8100000023841858,0.7084806561470032,24.0,2.508
24,0.6000000238418579,1.1503347158432007,16.0,2.458
25,0.7200000286102295,0.8732171654701233,24.0,2.366
26,0.699999988079071,0.9269737005233765,28.0,2.294
27,0.8299999833106995,0.5820408463478088,24.0,2.214
28,0.6800000071525574,0.8978484869003296,20.0,2.118
29,0.7300000190734863,0.8456797003746033,4.0,2.086
30,0.6700000166893005,1.0357952117919922,20.0,2.022
31,0.75,0.7154877185821533,0.0,2.096
32,0.7300000190734863,0.6731998920440674,0.0,2.206
33,0.7400000095367432,0.749870777130127,0.0,2.298
34,0.75,0.6967291235923767,12.0,2.274
35,0.7300000190734863,0.9294461011886597,8.0,2.234
36,0.75,0.6283425688743591,8.0,2.166
37,0.7400000095367432,0.6335076689720154,12.0,2.1
38,0.7200000286102295,0.8394453525543213,4.0,2.048
39,0.8500000238418579,0.6461173892021179,0.0,2.156
40,0.75,0.6309001445770264,12.0,2.092
41,0.8199999928474426,0.5924286842346191,8.0,2.06
42,0.7200000286102295,0.6874997615814209,12.0,2.006
43,0.7900000214576721,0.682089626789093,4.0,1.974
44,0.7400000095367432,0.6596179008483887,16.0,1.916
45,0.6600000262260437,0.980358898639679,12.0,1.872
46,0.75,0.6943332552909851,4.0,1.856
47,0.7200000286102295,0.6556861400604248,4.0,1.816
48,0.800000011920929,0.6002466082572937,4.0,1.798
49,0.5699999928474426,1.2880237102508545,8.0,1.75
50,0.7699999809265137,0.6348889470100403,0.0,1.84
51,0.800000011920929,0.7340109348297119,8.0,1.8
52,0.8299999833106995,0.5794833898544312,0.0,1.904
53,0.75,0.5888040661811829,12.0,1.854
54,0.7300000190734863,0.7525068521499634,12.0,1.81
55,0.7699999809265137,0.719727635383606,12.0,1.744
56,0.7099999785423279,0.7027631402015686,4.0,1.708
57,0.75,0.7277441620826721,16.0,1.65
58,0.7799999713897705,0.6099516153335571,0.0,1.788
59,0.7599999904632568,0.6969695091247559,8.0,1.738
60,0.6700000166893005,0.9453307390213013,4.0,1.698
61,0.6800000071525574,1.1264963150024414,8.0,1.674
62,0.6200000047683716,1.000177264213562,8.0,1.654
63,0.7400000095367432,0.6601245403289795,0.0,1.776
64,0.7300000190734863,0.7181715965270996,12.0,1.744
65,0.7400000095367432,0.8465667963027954,0.0,1.832
66,0.7400000095367432,0.6750395894050598,8.0,1.768
67,0.7200000286102295,0.728422999382019,0.0,1.882
68,0.8500000238418579,0.5609884858131409,12.0,1.822
69,0.75,0.6207297444343567,12.0,1.776
70,0.6700000166893005,0.879100501537323,8.0,1.738
71,0.7699999809265137,0.7134761214256287,4.0,1.716
72,0.75,0.7310990691184998,4.0,1.684
73,0.7900000214576721,0.6037757396697998,8.0,1.644
74,0.7599999904632568,0.6508514881134033,4.0,1.616
75,0.7200000286102295,0.7754541635513306,4.0,1.586
76,0.7400000095367432,0.6522800922393799,4.0,1.564
77,0.7799999713897705,0.48252755403518677,0.0,1.672
78,0.7400000095367432,0.8280168771743774,8.0,1.646
79,0.7900000214576721,0.6160426139831543,0.0,1.772
80,0.8100000023841858,0.6066938638687134,8.0,1.734
