Round,Accuracy,Loss,Dropped Client Ratio
1,0.09000000357627869,2.264127254486084,28.0
2,0.05999999865889549,2.2760672569274902,32.0
3,0.2800000011920929,2.202253580093384,20.0
4,0.23000000417232513,2.241042137145996,16.0
5,0.27000001072883606,2.2130658626556396,20.0
6,0.3400000035762787,2.184145450592041,8.0
7,0.15000000596046448,2.207003355026245,24.0
8,0.11999999731779099,2.2310335636138916,16.0
9,0.23999999463558197,2.247971773147583,24.0
10,0.3799999952316284,2.2172226905822754,16.0
11,0.20000000298023224,2.2249197959899902,20.0
12,0.2199999988079071,2.219540596008301,32.0
13,0.33000001311302185,2.15225887298584,32.0
14,0.2800000011920929,2.1333632469177246,28.0
15,0.10999999940395355,2.1875901222229004,28.0
16,0.20000000298023224,2.2268712520599365,12.0
17,0.10000000149011612,2.2127914428710938,20.0
18,0.3100000023841858,2.147172451019287,28.0
19,0.23000000417232513,2.1767020225524902,32.0
20,0.33000001311302185,2.1361305713653564,20.0
21,0.25,2.1422054767608643,16.0
22,0.3199999928474426,2.1783106327056885,24.0
23,0.41999998688697815,2.1563897132873535,24.0
24,0.4099999964237213,2.089472532272339,20.0
25,0.38999998569488525,2.072509288787842,28.0
26,0.23999999463558197,2.11238169670105,20.0
27,0.3499999940395355,2.100013494491577,8.0
28,0.3799999952316284,2.1334292888641357,36.0
29,0.3700000047683716,2.0923311710357666,8.0
30,0.41999998688697815,2.1176531314849854,20.0
31,0.23000000417232513,2.0765457153320312,36.0
32,0.3400000035762787,2.176535129547119,24.0
33,0.2800000011920929,2.069455146789551,20.0
34,0.4399999976158142,2.087387800216675,36.0
35,0.33000001311302185,2.0192253589630127,24.0
36,0.4099999964237213,2.060673475265503,32.0
37,0.18000000715255737,2.1180927753448486,32.0
38,0.46000000834465027,2.058711051940918,40.0
39,0.5799999833106995,1.9675778150558472,32.0
40,0.49000000953674316,1.8441511392593384,4.0
41,0.3199999928474426,2.042679786682129,36.0
42,0.36000001430511475,2.05513334274292,44.0
43,0.47999998927116394,1.974308729171753,28.0
44,0.3199999928474426,1.908785104751587,24.0
45,0.36000001430511475,2.001751661300659,24.0
46,0.4300000071525574,1.9679218530654907,20.0
47,0.23000000417232513,1.9853591918945312,28.0
48,0.4000000059604645,1.9814622402191162,24.0
49,0.3400000035762787,2.038421869277954,16.0
50,0.6100000143051147,1.9204719066619873,36.0
51,0.3100000023841858,1.9378113746643066,20.0
52,0.41999998688697815,1.8804665803909302,40.0
53,0.5400000214576721,1.8687776327133179,20.0
54,0.550000011920929,1.8815350532531738,16.0
55,0.33000001311302185,2.000042200088501,12.0
56,0.5,1.8186132907867432,24.0
57,0.4300000071525574,1.904494285583496,40.0
58,0.4099999964237213,1.8965017795562744,32.0
59,0.3700000047683716,1.8611633777618408,16.0
60,0.44999998807907104,1.8192194700241089,24.0
61,0.6399999856948853,1.803735613822937,40.0
62,0.3700000047683716,1.8232618570327759,16.0
63,0.6100000143051147,1.7707377672195435,24.0
64,0.5600000023841858,1.72347092628479,24.0
65,0.5799999833106995,1.7473034858703613,24.0
66,0.36000001430511475,1.7750424146652222,24.0
67,0.47999998927116394,1.8043383359909058,36.0
68,0.4399999976158142,1.796721339225769,32.0
69,0.46000000834465027,1.7198584079742432,28.0
70,0.5,1.7271604537963867,40.0
71,0.6299999952316284,1.7226213216781616,40.0
72,0.4399999976158142,1.733934760093689,32.0
73,0.4399999976158142,1.6892776489257812,36.0
74,0.5099999904632568,1.6907614469528198,24.0
75,0.5799999833106995,1.645003080368042,24.0
76,0.4300000071525574,1.7413066625595093,20.0
77,0.6299999952316284,1.4970436096191406,36.0
78,0.5799999833106995,1.6200448274612427,16.0
79,0.33000001311302185,1.7172250747680664,32.0
