Round,Accuracy,Loss,Dropped Client Ratio
1,0.25,2.265363931655884,32.0
2,0.28999999165534973,2.2607433795928955,40.0
3,0.2199999988079071,2.274430274963379,40.0
4,0.20000000298023224,2.2653276920318604,44.0
5,0.12999999523162842,2.263751745223999,44.0
6,0.07000000029802322,2.262244939804077,44.0
7,0.3199999928474426,2.256608009338379,44.0
8,0.25,2.2269105911254883,36.0
9,0.20999999344348907,2.267714500427246,44.0
10,0.25,2.2364134788513184,44.0
11,0.23000000417232513,2.2682714462280273,44.0
12,0.30000001192092896,2.229116678237915,32.0
13,0.3700000047683716,2.232785701751709,28.0
14,0.20000000298023224,2.2174015045166016,48.0
15,0.18000000715255737,2.2335946559906006,40.0
16,0.3499999940395355,2.211254596710205,60.0
17,0.23999999463558197,2.216965675354004,36.0
18,0.23000000417232513,2.2036919593811035,40.0
19,0.18000000715255737,2.248971462249756,48.0
20,0.3400000035762787,2.237947702407837,36.0
21,0.10000000149011612,2.204746961593628,36.0
22,0.4300000071525574,2.211956739425659,44.0
23,0.3700000047683716,2.224153995513916,56.0
24,0.18000000715255737,2.200329065322876,52.0
25,0.27000001072883606,2.2019922733306885,24.0
26,0.2199999988079071,2.1870574951171875,36.0
27,0.33000001311302185,2.1740479469299316,28.0
28,0.3700000047683716,2.1592588424682617,36.0
29,0.23000000417232513,2.1988556385040283,44.0
30,0.1599999964237213,2.208989143371582,32.0
31,0.4000000059604645,2.0922646522521973,28.0
32,0.2199999988079071,2.1964669227600098,48.0
33,0.3499999940395355,2.178129196166992,48.0
34,0.36000001430511475,2.141192674636841,52.0
35,0.33000001311302185,2.1968142986297607,56.0
36,0.4300000071525574,2.109412908554077,28.0
37,0.47999998927116394,2.125211238861084,56.0
38,0.3499999940395355,2.121558904647827,48.0
39,0.4699999988079071,2.1836421489715576,60.0
40,0.33000001311302185,2.062091112136841,36.0
41,0.4099999964237213,2.0919411182403564,36.0
42,0.23999999463558197,2.096236228942871,28.0
43,0.4300000071525574,2.060967206954956,48.0
44,0.30000001192092896,2.14992356300354,44.0
45,0.3199999928474426,2.146808385848999,48.0
46,0.5,2.0719196796417236,64.0
47,0.4000000059604645,2.0802841186523438,36.0
48,0.20999999344348907,2.1245837211608887,48.0
49,0.5299999713897705,2.0343618392944336,60.0
50,0.4300000071525574,2.0386221408843994,36.0
51,0.3799999952316284,2.063141107559204,32.0
52,0.36000001430511475,1.9568312168121338,40.0
53,0.6000000238418579,2.0154736042022705,40.0
54,0.3100000023841858,2.050419569015503,40.0
55,0.41999998688697815,1.9926081895828247,24.0
56,0.4000000059604645,2.0505168437957764,40.0
57,0.5699999928474426,2.0653040409088135,56.0
