Round,Accuracy,Loss,Dropped Client Ratio
1,0.2471999979019165,10.694853115081788,44.0
2,0.22280000269412994,11.094244327545166,36.0
3,0.269200000166893,9.860575866699218,44.0
4,0.3268000024557114,6.496717472076416,32.0
5,0.2943999993801117,7.894256553649902,32.0
6,0.2924000018835068,8.082326622009278,28.0
7,0.28160000026226045,9.97880018234253,32.0
8,0.29640000104904174,10.162810325622559,32.0
9,0.29320000171661376,6.470319595336914,36.0
10,0.22079999834299088,9.045863246917724,24.0
11,0.3175999987125397,8.091937456130982,32.0
12,0.3135999995470047,6.937834739685059,36.0
13,0.33320000052452087,8.34623698234558,20.0
14,0.3503999996185303,7.629499397277832,16.0
15,0.2600000020861626,6.978547124862671,20.0
16,0.42199999511241915,6.646526494026184,28.0
17,0.28560000121593476,7.709503326416016,44.0
18,0.3072000002861023,7.463090171813965,28.0
19,0.41879999577999116,4.352566394805908,28.0
20,0.3716000020503998,5.452793416976928,20.0
21,0.3572000014781952,5.344093685150146,32.0
22,0.3332000017166138,5.458356914520263,40.0
23,0.2956000018119812,6.825452423095703,20.0
24,0.3112000024318695,6.635782413482666,24.0
25,0.3008000022172928,5.925077104568482,28.0
26,0.30920000016689303,4.61485951423645,28.0
27,0.27199999868869784,6.8493837547302245,40.0
28,0.4167999982833862,4.201667461395264,24.0
29,0.4159999972581863,4.4941331577301025,32.0
30,0.36040000200271605,5.002766847610474,28.0
31,0.4427999997138977,3.288728942871094,20.0
32,0.3524000000953674,4.6508274269104,36.0
33,0.3584000009298325,4.846233777999878,24.0
34,0.4515999984741211,3.5428108596801757,40.0
35,0.46599999666213987,2.8342525863647463,16.0
36,0.43559999465942384,3.1820025873184203,28.0
37,0.40239999890327455,4.964768552780152,20.0
38,0.4199999964237213,4.051227569580078,20.0
39,0.4972000002861023,2.997596950531006,20.0
40,0.3600000011920929,5.334729986190796,36.0
41,0.3955999970436096,3.8389426708221435,24.0
42,0.4111999982595444,3.26640974521637,48.0
43,0.4731999981403351,2.7302008724212645,20.0
44,0.40799999713897706,3.929530644416809,40.0
45,0.4111999976634979,3.658207130432129,44.0
46,0.4327999973297119,3.151783833503723,16.0
47,0.45079999923706054,3.608749227523804,24.0
48,0.445999995470047,3.494246759414673,20.0
49,0.5235999929904938,2.45442316532135,28.0
50,0.5059999930858612,2.441351671218872,16.0
51,0.49039999723434446,2.476028757095337,28.0
52,0.5367999982833862,2.025196075439453,40.0
53,0.45239999890327454,2.602896409034729,24.0
54,0.5012000000476837,2.803382704257965,28.0
55,0.416800000667572,3.3979080963134765,24.0
56,0.5043999946117401,2.6708081436157225,20.0
57,0.5235999989509582,2.140188684463501,24.0
58,0.45160000324249266,3.684778342247009,32.0
59,0.4915999972820282,2.5552854347229004,28.0
60,0.5291999971866608,2.3223911190032958,20.0
61,0.4672000002861023,3.106922788619995,40.0
62,0.5819999992847442,1.733346312046051,28.0
63,0.5055999970436096,2.2472570753097534,16.0
64,0.3980000001192093,3.838191418647766,32.0
65,0.603199999332428,1.7183647394180297,32.0
66,0.5424000000953675,1.797309594154358,24.0
67,0.5055999982357026,2.4643680953979494,24.0
68,0.5923999977111817,1.4545405316352844,20.0
69,0.5540000021457672,2.0651959943771363,16.0
70,0.5075999987125397,2.1148790550231933,20.0
71,0.5423999977111816,1.923744134902954,20.0
72,0.611199997663498,1.3555358815193177,12.0
73,0.5684000015258789,1.6810718059539795,16.0
74,0.49399999737739564,2.2941874504089355,12.0
75,0.5292000019550324,1.8844232511520387,24.0
76,0.5919999933242798,1.5870297122001649,28.0
77,0.4987999987602234,2.878044648170471,24.0
78,0.5051999938488007,2.317012324333191,16.0
79,0.5548000037670135,1.7595051717758179,32.0
80,0.549599996805191,2.0020601463317873,16.0
81,0.5416000068187714,1.9740383911132813,24.0
82,0.6144000017642974,1.5273057770729066,16.0
83,0.5615999984741211,1.7391737842559813,28.0
84,0.5899999988079071,1.5409081363677979,12.0
85,0.6559999918937683,1.5583768796920776,16.0
86,0.576800000667572,1.852635021209717,40.0
87,0.5247999954223633,1.8382697200775147,24.0
88,0.5923999965190887,1.6497405362129212,36.0
89,0.5351999938488007,2.1260655546188354,24.0
90,0.652799997329712,1.2465632104873656,20.0
91,0.6696000027656556,1.1199940645694733,24.0
92,0.5980000007152557,1.8415616321563721,28.0
93,0.6160000061988831,1.349408507347107,20.0
94,0.5995999944210052,1.4023061609268188,44.0
95,0.5248000025749207,1.8607428407669067,20.0
96,0.7063999986648559,1.0049714875221252,24.0
97,0.6075999999046325,1.4163133788108826,36.0
98,0.6820000052452088,1.0284199905395508,36.0
99,0.5843999958038331,1.6377894353866578,24.0
100,0.7096000003814698,1.0204921531677247,36.0
101,0.6984000015258789,1.0840676212310791,16.0
102,0.5964000022411347,1.7056390643119812,28.0
103,0.7064000034332275,0.9512197828292847,36.0
104,0.7039999985694885,0.964769412279129,24.0
105,0.6675999987125397,1.1760407733917235,24.0
106,0.7151999998092652,1.0038141512870788,32.0
107,0.7263999938964844,0.8973589682579041,20.0
108,0.7015999984741211,1.1050222039222717,40.0
109,0.7183999919891357,0.9639789319038391,28.0
110,0.6504000020027161,1.1857757568359375,36.0
111,0.6407999968528748,1.4033600163459778,20.0
112,0.6496000063419342,1.3668960952758789,36.0
113,0.737599995136261,0.9013123440742493,12.0
114,0.6419999957084656,1.3080478930473327,28.0
115,0.616800000667572,1.4017945337295532,24.0
116,0.7108000087738037,1.1208110451698303,28.0
117,0.6692000031471252,1.2934433913230896,32.0
118,0.6655999982357025,1.167822666168213,28.0
119,0.6619999980926514,1.2523285269737243,24.0
120,0.7316000032424926,0.8431355595588684,32.0
121,0.7560000014305115,0.800531632900238,20.0
122,0.6611999988555908,1.3640000891685486,32.0
123,0.6719999980926513,1.082930555343628,36.0
124,0.7355999970436096,0.9308886337280273,32.0
125,0.7359999966621399,0.8305459189414978,40.0
126,0.6851999998092652,1.1848845529556273,12.0
127,0.6115999948978424,1.6714261198043823,12.0
128,0.614799997806549,1.661931791305542,28.0
129,0.7111999940872192,1.083529543876648,36.0
130,0.7,0.9689200735092163,24.0
131,0.7260000038146973,1.0202066719532012,20.0
132,0.6935999965667725,1.023018820285797,12.0
133,0.6703999972343445,1.1935287618637085,28.0
134,0.7140000033378601,1.1775297474861146,24.0
135,0.7224000000953674,1.0209961223602295,28.0
136,0.766399998664856,0.6973518061637879,40.0
137,0.7087999951839447,0.9965427565574646,24.0
138,0.7279999995231629,0.9155253458023072,8.0
139,0.7140000009536743,0.9256425094604492,28.0
140,0.7144000053405761,1.0496812319755555,28.0
141,0.663199999332428,1.3907634830474853,20.0
142,0.6580000007152558,1.393034369945526,28.0
143,0.6983999979496002,1.2237740135192872,32.0
144,0.7535999965667725,0.8142007637023926,24.0
145,0.7703999948501586,0.7580707609653473,16.0
146,0.7519999933242798,0.8638245511054993,28.0
147,0.7563999962806701,0.8180719828605652,28.0
148,0.7168000054359436,0.9424059367179871,16.0
149,0.8099999976158142,0.5699299120903015,32.0
150,0.7636000037193298,0.8693786501884461,24.0
151,0.7655999946594239,0.7405723702907562,28.0
152,0.6796000027656555,1.311198296546936,20.0
153,0.7459999990463256,0.8703248214721679,20.0
154,0.7075999999046325,1.0263199520111084,44.0
155,0.7724000000953675,0.672524424791336,32.0
156,0.7807999992370606,0.8329356133937835,32.0
157,0.769599997997284,0.7991625332832336,28.0
158,0.6856000018119812,1.1983689832687379,24.0
159,0.7519999980926514,0.8362993121147155,28.0
160,0.7992000007629394,0.6968544936180114,28.0
161,0.7096000051498413,0.9967117834091187,24.0
162,0.7836000037193298,0.5964344918727875,20.0
163,0.7591999959945679,0.8861624479293824,20.0
164,0.7972000002861023,0.6986310875415802,24.0
165,0.7020000028610229,1.1721038699150086,24.0
166,0.754799997806549,0.9856511759757995,16.0
167,0.7680000019073486,0.8278020930290222,16.0
168,0.7963999962806702,0.6923237586021423,36.0
169,0.7675999975204468,0.7395779955387115,8.0
170,0.740400002002716,0.9548437523841858,28.0
171,0.8043999981880188,0.6284370422363281,28.0
172,0.7627999997138977,0.8793945932388305,16.0
173,0.8043999934196472,0.6551119112968444,32.0
174,0.802799997329712,0.7010196685791016,28.0
175,0.7339999961853028,0.9448950815200806,20.0
176,0.7852000021934509,0.6401034355163574,20.0
177,0.7636000061035156,0.8497109580039978,28.0
178,0.8464000058174134,0.565995796918869,20.0
179,0.7740000033378601,0.8704082942008973,12.0
180,0.7799999952316284,0.752915301322937,28.0
181,0.81,0.6667322409152985,12.0
182,0.7823999977111816,0.7589403867721558,12.0
183,0.7772000002861023,0.7679691588878632,44.0
184,0.7176000022888184,0.8917836809158325,28.0
185,0.7696000027656555,0.8311910891532898,20.0
186,0.7139999938011169,0.9836449122428894,28.0
187,0.7883999991416931,0.6328484761714935,16.0
188,0.8619999957084655,0.44028979778289795,32.0
189,0.7428000044822692,0.9832995045185089,40.0
190,0.8120000004768372,0.6435623574256897,28.0
191,0.8275999999046326,0.5385830628871918,40.0
192,0.7976000046730042,0.7591913843154907,28.0
193,0.757999997138977,0.8661541748046875,20.0
194,0.7327999949455262,1.1204851901531219,32.0
195,0.7572000050544738,0.9363120484352112,16.0
196,0.8175999999046326,0.5711242878437042,24.0
197,0.7987999963760376,0.6529503440856934,36.0
198,0.776399998664856,0.7541786825656891,28.0
199,0.8172000002861023,0.6171396923065186,56.0
200,0.8059999895095825,0.665843825340271,20.0
201,0.8303999996185303,0.5517434406280518,16.0
202,0.8235999965667724,0.5731565248966217,28.0
203,0.8207999968528747,0.5701986849308014,28.0
204,0.8163999938964843,0.6584503901004791,20.0
205,0.8067999958992005,0.6322312390804291,20.0
206,0.8240000009536743,0.6490623223781585,32.0
207,0.8148000001907348,0.8371198344230651,32.0
208,0.818799991607666,0.6073601424694062,20.0
209,0.7679999995231629,0.8054888916015625,8.0
210,0.8,0.6815514194965363,44.0
211,0.8132000017166138,0.7181045460700989,32.0
212,0.8291999936103821,0.5758789587020874,24.0
213,0.8067999982833862,0.6517987620830535,36.0
214,0.8179999971389771,0.5798804593086243,24.0
215,0.7927999925613404,0.6918115782737732,32.0
216,0.7900000023841858,0.8366861057281494,28.0
217,0.8371999955177307,0.550172553062439,28.0
218,0.8356000018119812,0.6979335963726043,20.0
219,0.8331999993324279,0.5327769541740417,32.0
220,0.8599999952316284,0.44589225947856903,24.0
221,0.7927999997138977,0.6751127207279205,24.0
222,0.8087999987602233,0.6374108409881591,20.0
223,0.8319999980926513,0.6294203293323517,24.0
224,0.8051999998092652,0.7024509239196778,32.0
225,0.8311999988555908,0.644205402135849,36.0
226,0.8272000002861023,0.5364437747001648,20.0
227,0.8564000010490418,0.43760804772377015,32.0
228,0.8511999869346618,0.5326754951477051,24.0
229,0.8472000002861023,0.5311464381217956,12.0
230,0.8219999957084656,0.6283761560916901,28.0
231,0.8115999937057495,0.6374813079833984,28.0
232,0.8067999935150146,0.76762326836586,12.0
233,0.8147999978065491,0.672286901473999,20.0
234,0.7872000026702881,0.7427369022369384,8.0
235,0.7992000007629394,0.7459395563602448,40.0
236,0.7383999991416931,0.8836108541488648,12.0
237,0.8376000022888184,0.5094166481494904,28.0
238,0.871200008392334,0.47717464208602905,32.0
239,0.8419999980926514,0.49000624179840085,28.0
240,0.8192000007629394,0.6186533188819885,8.0
241,0.8043999934196472,0.6211625349521637,16.0
242,0.7983999967575073,0.6640235567092896,32.0
243,0.875600004196167,0.3897227114439011,16.0
244,0.8804000043869018,0.3602395075559616,32.0
245,0.79,0.7609344053268433,12.0
246,0.8175999999046326,0.6468786120414733,16.0
247,0.8264000058174134,0.6091655242443085,24.0
248,0.8211999988555908,0.6559788846969604,36.0
249,0.8452000021934509,0.5262212932109833,24.0
250,0.8072000050544739,0.7339644873142243,20.0
251,0.8832000064849853,0.4186232364177704,28.0
252,0.8691999983787536,0.4580445647239685,24.0
253,0.8403999996185303,0.5814895403385162,28.0
254,0.8055999994277954,0.6836057233810425,28.0
255,0.8611999988555908,0.4462757921218872,32.0
256,0.8708000040054321,0.49648916482925415,16.0
257,0.8592000031471252,0.4597009742259979,24.0
258,0.8575999999046325,0.44772526383399963,24.0
259,0.8639999985694885,0.5255635726451874,16.0
260,0.8451999998092652,0.4958133065700531,20.0
261,0.8227999997138977,0.5884974932670594,28.0
262,0.814400007724762,0.5810755383968353,24.0
263,0.8580000066757202,0.48520859897136687,28.0
264,0.8355999946594238,0.6692476880550384,24.0
265,0.8340000033378601,0.5261527812480926,40.0
266,0.8591999983787537,0.43384518623352053,12.0
267,0.8171999979019166,0.6422974228858948,36.0
268,0.8263999986648559,0.6506681013107299,8.0
269,0.797599995136261,0.7130181980133057,16.0
270,0.8280000042915344,0.5684113740921021,12.0
271,0.8548000025749206,0.45316418409347536,8.0
272,0.8015999960899353,0.6801500326395035,12.0
273,0.8527999973297119,0.5176070284843445,8.0
274,0.8239999914169311,0.6889520883560181,20.0
275,0.8388000011444092,0.5997852861881257,16.0
276,0.8143999981880188,0.5837625682353973,24.0
277,0.8327999973297119,0.517842675447464,36.0
278,0.8412000036239624,0.4757022845745087,28.0
279,0.8495999932289123,0.48455269932746886,16.0
280,0.8415999960899353,0.5449808323383332,44.0
281,0.8964000034332276,0.38315059900283815,28.0
282,0.8235999917984009,0.5529381465911866,40.0
283,0.8835999989509582,0.38856557846069334,20.0
284,0.8479999995231629,0.534515655040741,24.0
285,0.8424000024795533,0.5800165665149689,28.0
286,0.8451999974250793,0.4978133416175842,20.0
287,0.892400004863739,0.38513022780418393,32.0
288,0.8316000008583069,0.6769051480293274,20.0
289,0.8372000074386596,0.587865082025528,16.0
290,0.8932000041007996,0.4393980300426483,28.0
291,0.8272000074386596,0.5777288484573364,28.0
292,0.8900000023841858,0.4304103183746338,24.0
293,0.8727999973297119,0.43693234741687775,32.0
294,0.8715999960899353,0.4114423823356628,16.0
295,0.864399995803833,0.4507075667381287,32.0
296,0.8963999938964844,0.31841069638729097,40.0
297,0.8239999985694886,0.5837343621253968,20.0
298,0.8823999953269959,0.3350615310668945,16.0
299,0.8683999991416931,0.45603652238845827,12.0
300,0.8459999990463257,0.4995728576183319,20.0
301,0.8295999979972839,0.6013790535926818,28.0
302,0.8459999990463257,0.5395221161842346,24.0
303,0.9031999945640564,0.3259697949886322,24.0
304,0.9019999957084656,0.3156462115049362,40.0
305,0.9028000020980835,0.38390681803226473,16.0
306,0.8972000026702881,0.309128623008728,36.0
307,0.8699999976158143,0.41193480968475343,28.0
308,0.8980000019073486,0.3069332140684128,20.0
309,0.8675999975204468,0.5492360913753509,24.0
310,0.8443999981880188,0.5275005447864533,20.0
311,0.8584000015258789,0.5754702353477478,16.0
312,0.8403999996185303,0.6171038961410522,36.0
313,0.8811999988555909,0.3783088010549545,16.0
314,0.8335999965667724,0.7338053393363952,20.0
315,0.8279999947547912,0.6286920130252838,12.0
316,0.9140000057220459,0.25977482497692106,24.0
317,0.8351999974250793,0.5931605935096741,48.0
318,0.8739999985694885,0.3381838142871857,16.0
319,0.8427999973297119,0.608033344745636,20.0
320,0.8627999997138978,0.4682912653684616,20.0
321,0.8463999962806702,0.5200588834285736,40.0
322,0.9044000029563903,0.2844675201177597,28.0
323,0.8223999953269958,0.6620733428001404,36.0
324,0.8932000041007996,0.37919394016265867,32.0
325,0.7980000019073487,0.7885224354267121,20.0
326,0.9004000020027161,0.27388823449611666,24.0
327,0.8767999982833863,0.3982593250274658,20.0
328,0.8507999968528748,0.5703522741794587,20.0
329,0.8764000010490417,0.42368738889694213,28.0
330,0.8799999904632568,0.4403310310840607,20.0
331,0.8748000073432922,0.4789170682430267,16.0
332,0.9220000004768372,0.2395489177107811,36.0
333,0.8315999913215637,0.5443891668319703,12.0
334,0.9123999977111816,0.32298684895038604,24.0
335,0.8904000020027161,0.32996588826179507,32.0
