Round,Accuracy,Loss,Uncomplete Ratio,Epoch Mean
1,0.10000000149011612,13.12209701538086,76.0,5.0
2,0.1899999976158142,5.7624993324279785,40.0,5.0
3,0.3400000035762787,2.998986005783081,56.0,4.808
4,0.23000000417232513,2.862222909927368,52.0,4.64
5,0.5,1.5763635635375977,48.0,4.496
6,0.550000011920929,1.4556002616882324,48.0,4.32
7,0.6600000262260437,0.9131301641464233,44.0,4.168
8,0.5099999904632568,1.4683667421340942,44.0,4.048
9,0.5400000214576721,1.491918921470642,48.0,3.952
10,0.5899999737739563,1.2457666397094727,32.0,3.864
11,0.7599999904632568,0.8226366639137268,40.0,3.744
12,0.7099999785423279,0.865180253982544,48.0,3.624
13,0.8600000143051147,0.6353147625923157,40.0,3.512
14,0.7900000214576721,0.6536404490470886,32.0,3.376
15,0.6800000071525574,1.047258734703064,20.0,3.28
16,0.7699999809265137,0.6593434810638428,48.0,3.152
17,0.7799999713897705,0.606120765209198,36.0,3.064
18,0.800000011920929,0.5328707098960876,28.0,2.944
19,0.7699999809265137,0.6755585670471191,16.0,2.856
20,0.8100000023841858,0.5531138777732849,24.0,2.768
21,0.8299999833106995,0.5883401036262512,12.0,2.696
22,0.7699999809265137,0.7269812822341919,20.0,2.608
23,0.7099999785423279,0.7775200605392456,32.0,2.504
24,0.8799999952316284,0.48755770921707153,12.0,2.448
25,0.8899999856948853,0.3832312822341919,20.0,2.384
26,0.8399999737739563,0.5384582877159119,32.0,2.312
27,0.8399999737739563,0.5104566812515259,36.0,2.24
28,0.8799999952316284,0.33985722064971924,8.0,2.168
29,0.8700000047683716,0.3966217339038849,16.0,2.104
30,0.8700000047683716,0.39757096767425537,12.0,2.04
31,0.800000011920929,0.5249072909355164,20.0,2.008
32,0.8299999833106995,0.4011296033859253,12.0,1.968
33,0.8399999737739563,0.558525025844574,12.0,1.928
34,0.7900000214576721,0.5189246535301208,16.0,1.856
35,0.8500000238418579,0.3611976206302643,4.0,1.816
36,0.8299999833106995,0.4604920446872711,4.0,1.784
37,0.9399999976158142,0.247747540473938,12.0,1.752
38,0.9100000262260437,0.29641494154930115,4.0,1.736
39,0.8799999952316284,0.2741624414920807,8.0,1.712
40,0.8600000143051147,0.47574108839035034,20.0,1.664
41,0.8700000047683716,0.5411266088485718,12.0,1.608
42,0.9100000262260437,0.3576860725879669,4.0,1.592
43,0.9200000166893005,0.29972347617149353,4.0,1.576
44,0.9200000166893005,0.34143543243408203,8.0,1.552
45,0.9200000166893005,0.2860897183418274,4.0,1.536
46,0.8399999737739563,0.550422191619873,12.0,1.512
47,0.8899999856948853,0.3976546823978424,8.0,1.496
48,0.8500000238418579,0.39599815011024475,0.0,1.666
49,0.8999999761581421,0.3631267845630646,12.0,1.62
