Round,Accuracy,Loss,Dropped Client Ratio
1,0.10000000149011612,2.312826156616211,44.0
2,0.09000000357627869,2.481903314590454,36.0
3,0.10999999940395355,2.439180374145508,60.0
4,0.12999999523162842,2.3355228900909424,44.0
5,0.05999999865889549,2.326505422592163,48.0
6,0.17000000178813934,2.3769729137420654,48.0
7,0.1899999976158142,2.2886815071105957,36.0
8,0.1599999964237213,2.350951910018921,44.0
9,0.12999999523162842,2.354294538497925,40.0
10,0.10999999940395355,2.3154194355010986,44.0
11,0.12999999523162842,2.333881378173828,44.0
12,0.20999999344348907,2.1912145614624023,28.0
13,0.1899999976158142,2.3994898796081543,44.0
14,0.15000000596046448,2.2565503120422363,40.0
15,0.20000000298023224,2.1568071842193604,36.0
16,0.25999999046325684,2.0462448596954346,40.0
17,0.10999999940395355,2.375957727432251,56.0
18,0.18000000715255737,2.2269551753997803,48.0
19,0.14000000059604645,2.285980463027954,32.0
20,0.23000000417232513,2.1074490547180176,48.0
21,0.20999999344348907,2.135369062423706,44.0
22,0.23999999463558197,2.120668649673462,28.0
23,0.20999999344348907,1.9978121519088745,32.0
24,0.28999999165534973,1.9321563243865967,36.0
25,0.3499999940395355,2.2119901180267334,40.0
26,0.23000000417232513,1.9748536348342896,32.0
27,0.3199999928474426,1.8386889696121216,40.0
28,0.25999999046325684,1.9943673610687256,36.0
29,0.1899999976158142,1.9811874628067017,40.0
30,0.27000001072883606,1.9589828252792358,44.0
31,0.3199999928474426,1.814111351966858,36.0
32,0.4000000059604645,1.6812751293182373,20.0
33,0.30000001192092896,1.8851940631866455,56.0
34,0.23999999463558197,2.172666549682617,44.0
35,0.3799999952316284,1.731960415840149,36.0
36,0.25,1.8023191690444946,36.0
37,0.3199999928474426,2.0818676948547363,60.0
38,0.30000001192092896,1.8135812282562256,40.0
39,0.3700000047683716,1.6237328052520752,44.0
40,0.27000001072883606,1.84102463722229,32.0
41,0.36000001430511475,1.6356474161148071,48.0
42,0.3700000047683716,1.6871806383132935,48.0
43,0.2800000011920929,1.9636242389678955,32.0
44,0.36000001430511475,1.8026378154754639,28.0
45,0.33000001311302185,2.1126902103424072,36.0
46,0.4099999964237213,1.5997918844223022,28.0
47,0.3700000047683716,1.7588473558425903,52.0
48,0.3700000047683716,1.7878988981246948,36.0
49,0.4099999964237213,1.7234501838684082,36.0
50,0.3799999952316284,1.628568410873413,44.0
51,0.3199999928474426,1.9054021835327148,16.0
52,0.3700000047683716,1.7627897262573242,32.0
53,0.4300000071525574,1.5425866842269897,36.0
54,0.44999998807907104,1.5810056924819946,44.0
55,0.33000001311302185,1.805966854095459,44.0
56,0.33000001311302185,1.9824342727661133,48.0
57,0.36000001430511475,1.8586502075195312,36.0
58,0.41999998688697815,1.7900317907333374,56.0
59,0.46000000834465027,1.5290124416351318,40.0
60,0.44999998807907104,1.4671353101730347,24.0
61,0.3499999940395355,1.8143914937973022,44.0
62,0.4300000071525574,1.6827365159988403,36.0
63,0.36000001430511475,1.9304248094558716,52.0
64,0.3700000047683716,1.6574171781539917,40.0
65,0.3499999940395355,1.9476938247680664,36.0
66,0.3199999928474426,1.8509830236434937,44.0
67,0.3400000035762787,1.670605182647705,44.0
68,0.4399999976158142,1.573058009147644,40.0
69,0.4099999964237213,1.8510448932647705,56.0
70,0.4000000059604645,1.6764800548553467,32.0
71,0.4300000071525574,1.5932252407073975,40.0
72,0.28999999165534973,1.8870960474014282,56.0
73,0.3400000035762787,1.827046513557434,56.0
74,0.38999998569488525,1.576908826828003,52.0
75,0.4399999976158142,1.6274446249008179,52.0
76,0.38999998569488525,1.6563304662704468,60.0
77,0.5299999713897705,1.4457321166992188,48.0
78,0.33000001311302185,2.046753168106079,48.0
79,0.41999998688697815,1.6434135437011719,60.0
80,0.38999998569488525,1.6493840217590332,44.0
81,0.41999998688697815,1.7377347946166992,48.0
82,0.4099999964237213,1.592522144317627,44.0
83,0.4399999976158142,1.6212173700332642,44.0
84,0.47999998927116394,1.6620259284973145,36.0
85,0.3400000035762787,1.969380497932434,40.0
86,0.4699999988079071,1.4230116605758667,16.0
87,0.3799999952316284,1.669966697692871,40.0
88,0.3700000047683716,1.6365078687667847,56.0
89,0.4300000071525574,1.621414065361023,28.0
90,0.5199999809265137,1.3185147047042847,40.0
91,0.49000000953674316,1.4588255882263184,40.0
92,0.46000000834465027,1.3544907569885254,40.0
93,0.36000001430511475,1.8196178674697876,52.0
94,0.4000000059604645,1.4902594089508057,44.0
95,0.44999998807907104,1.6041650772094727,44.0
96,0.41999998688697815,1.6000272035598755,40.0
97,0.47999998927116394,1.3810838460922241,40.0
98,0.3199999928474426,1.9457439184188843,40.0
99,0.44999998807907104,1.6043119430541992,60.0
100,0.3400000035762787,1.5543146133422852,48.0
101,0.4099999964237213,1.6088184118270874,68.0
102,0.5699999928474426,1.3418594598770142,52.0
103,0.4300000071525574,1.650489330291748,56.0
104,0.4399999976158142,1.7294505834579468,36.0
105,0.5199999809265137,1.4792827367782593,40.0
106,0.4300000071525574,1.5256367921829224,52.0
107,0.4300000071525574,2.0276591777801514,48.0
108,0.5099999904632568,1.2372685670852661,52.0
109,0.46000000834465027,1.6625051498413086,68.0
110,0.4399999976158142,1.402809739112854,32.0
111,0.5299999713897705,1.309503436088562,36.0
