Round,Accuracy,Loss,Uncomplete Ratio,Epoch Mean
1,0.07000000029802322,2.4398744106292725,48.0,5.0
2,0.10999999940395355,2.3048512935638428,60.0,5.0
3,0.07999999821186066,2.3798811435699463,52.0,5.0
4,0.11999999731779099,2.435643196105957,44.0,5.0
5,0.14000000059604645,2.276007890701294,68.0,5.0
6,0.07000000029802322,2.372810125350952,56.0,5.0
7,0.10000000149011612,2.3659796714782715,60.0,5.0
8,0.14000000059604645,2.3963515758514404,48.0,5.0
9,0.12999999523162842,2.3360748291015625,72.0,5.0
10,0.10000000149011612,2.3414340019226074,68.0,5.0
11,0.05000000074505806,2.330778121948242,48.0,5.0
12,0.09000000357627869,2.354246139526367,44.0,5.0
13,0.09000000357627869,2.3140456676483154,36.0,5.0
14,0.11999999731779099,2.3047878742218018,76.0,5.0
15,0.10999999940395355,2.4387526512145996,56.0,5.0
16,0.05999999865889549,2.4192562103271484,52.0,5.0
17,0.07999999821186066,2.2715237140655518,72.0,5.0
18,0.05999999865889549,2.4413323402404785,68.0,5.0
19,0.12999999523162842,2.3217666149139404,76.0,5.0
20,0.1599999964237213,2.301269769668579,44.0,5.0
21,0.14000000059604645,2.264359474182129,56.0,5.0
22,0.23999999463558197,2.2091941833496094,60.0,5.0
23,0.20000000298023224,2.2401371002197266,56.0,5.0
24,0.2199999988079071,2.1414835453033447,68.0,5.0
25,0.1599999964237213,2.130310535430908,56.0,5.0
26,0.15000000596046448,2.2316460609436035,68.0,5.0
27,0.1599999964237213,2.103313446044922,52.0,5.0
28,0.14000000059604645,2.1209208965301514,36.0,5.0
29,0.18000000715255737,2.0970001220703125,68.0,5.0
30,0.25,2.0491251945495605,68.0,5.0
31,0.14000000059604645,2.029811143875122,72.0,5.0
32,0.18000000715255737,2.0735838413238525,80.0,4.8
33,0.2199999988079071,2.16298246383667,64.0,4.6
34,0.23999999463558197,2.023393154144287,48.0,4.416
35,0.25999999046325684,1.9228886365890503,60.0,4.248
36,0.15000000596046448,2.057530403137207,52.0,4.064
37,0.25,1.863700270652771,52.0,3.912
38,0.27000001072883606,1.9283006191253662,52.0,3.76
39,0.3100000023841858,1.9788316488265991,44.0,3.608
40,0.3100000023841858,1.9284255504608154,40.0,3.472
41,0.1899999976158142,1.892101764678955,44.0,3.352
42,0.25,2.064624309539795,28.0,3.224
43,0.3499999940395355,1.8402193784713745,44.0,3.088
44,0.28999999165534973,1.9575062990188599,48.0,2.976
45,0.2800000011920929,2.024017810821533,20.0,2.88
46,0.38999998569488525,1.8040401935577393,40.0,2.768
47,0.3100000023841858,1.90201997756958,28.0,2.672
48,0.33000001311302185,1.85219144821167,20.0,2.6
49,0.23999999463558197,1.9737608432769775,32.0,2.488
50,0.27000001072883606,1.9115849733352661,12.0,2.416
51,0.25,1.9137959480285645,20.0,2.368
52,0.28999999165534973,1.8936476707458496,8.0,2.296
53,0.28999999165534973,1.8984097242355347,28.0,2.2
54,0.3199999928474426,1.9334988594055176,20.0,2.144
55,0.3100000023841858,1.9140193462371826,8.0,2.12
56,0.30000001192092896,1.827986240386963,8.0,2.072
57,0.38999998569488525,1.770574688911438,12.0,2.0
58,0.33000001311302185,1.8255549669265747,12.0,1.968
59,0.20000000298023224,1.9447840452194214,16.0,1.92
60,0.27000001072883606,1.865037441253662,16.0,1.864
61,0.3499999940395355,1.8734517097473145,20.0,1.808
62,0.3499999940395355,1.6774402856826782,4.0,1.792
63,0.30000001192092896,1.8038161993026733,4.0,1.768
64,0.25999999046325684,1.8391423225402832,28.0,1.712
65,0.1899999976158142,1.958449125289917,16.0,1.64
66,0.3700000047683716,1.817007303237915,4.0,1.6
67,0.3499999940395355,1.8188085556030273,16.0,1.568
68,0.3799999952316284,1.774960994720459,12.0,1.536
69,0.3499999940395355,1.8659565448760986,12.0,1.488
70,0.4000000059604645,1.7723450660705566,8.0,1.464
71,0.30000001192092896,1.8733962774276733,12.0,1.432
72,0.25999999046325684,1.888148546218872,12.0,1.4
73,0.38999998569488525,1.7759815454483032,12.0,1.36
74,0.3700000047683716,1.7679612636566162,0.0,1.498
75,0.4000000059604645,1.7650753259658813,4.0,1.49
76,0.4000000059604645,1.696644902229309,8.0,1.454
77,0.4000000059604645,1.7814085483551025,12.0,1.418
78,0.36000001430511475,1.7668845653533936,8.0,1.394
79,0.27000001072883606,1.9222493171691895,12.0,1.36
80,0.3100000023841858,1.8973747491836548,4.0,1.338
81,0.3199999928474426,1.80864679813385,0.0,1.484
82,0.3100000023841858,1.8575844764709473,16.0,1.446
83,0.25999999046325684,1.863559603691101,4.0,1.438
84,0.3799999952316284,1.7711361646652222,0.0,1.584
85,0.36000001430511475,1.7610445022583008,20.0,1.542
86,0.3700000047683716,1.7163316011428833,0.0,1.69
87,0.3700000047683716,1.7956151962280273,20.0,1.614
88,0.33000001311302185,1.7211236953735352,4.0,1.586
89,0.3100000023841858,1.8360214233398438,4.0,1.538
