Round,Accuracy,Loss,Uncomplete Ratio,Epoch Mean
1,0.14000000059604645,2.311777353286743,56.0,5.0
2,0.10999999940395355,2.309788465499878,56.0,5.0
3,0.12999999523162842,2.3842718601226807,36.0,5.0
4,0.05999999865889549,2.3539154529571533,36.0,5.0
5,0.10999999940395355,2.3510119915008545,44.0,5.0
6,0.10000000149011612,2.393829584121704,36.0,5.0
7,0.05999999865889549,2.351637601852417,40.0,5.0
8,0.10000000149011612,2.2711901664733887,44.0,5.0
9,0.1599999964237213,2.3367209434509277,48.0,5.0
10,0.17000000178813934,2.2724363803863525,44.0,5.0
11,0.12999999523162842,2.3939647674560547,64.0,5.0
12,0.07999999821186066,2.742100238800049,20.0,5.0
13,0.11999999731779099,2.2762677669525146,32.0,5.0
14,0.12999999523162842,2.3535356521606445,68.0,5.0
15,0.14000000059604645,2.2757859230041504,56.0,5.0
16,0.1599999964237213,2.2989914417266846,36.0,5.0
17,0.23000000417232513,2.1969387531280518,36.0,5.0
18,0.10999999940395355,2.2440130710601807,28.0,5.0
19,0.15000000596046448,2.199345588684082,32.0,5.0
20,0.17000000178813934,2.191007614135742,60.0,5.0
21,0.18000000715255737,2.3460936546325684,28.0,5.0
22,0.1599999964237213,2.191716194152832,40.0,5.0
23,0.14000000059604645,2.3086531162261963,32.0,5.0
24,0.12999999523162842,2.2810802459716797,52.0,5.0
25,0.23999999463558197,2.022289514541626,44.0,5.0
26,0.23999999463558197,1.989810824394226,40.0,5.0
27,0.27000001072883606,1.9613025188446045,40.0,5.0
28,0.27000001072883606,2.042022466659546,48.0,5.0
29,0.20999999344348907,2.009511947631836,36.0,5.0
30,0.17000000178813934,2.1987926959991455,44.0,5.0
31,0.2199999988079071,2.03178334236145,48.0,5.0
32,0.18000000715255737,2.1278209686279297,44.0,4.8
33,0.15000000596046448,2.0890095233917236,52.0,4.6
34,0.23000000417232513,2.0377357006073,36.0,4.408
35,0.1899999976158142,2.0375185012817383,28.0,4.216
36,0.1899999976158142,2.0376338958740234,44.0,4.04
37,0.25,1.9664922952651978,28.0,3.888
38,0.25999999046325684,2.033231258392334,28.0,3.744
39,0.3199999928474426,1.9006518125534058,28.0,3.6
40,0.28999999165534973,1.941349983215332,36.0,3.44
41,0.33000001311302185,1.7962286472320557,40.0,3.312
42,0.30000001192092896,1.8916336297988892,36.0,3.2
43,0.20000000298023224,1.980302095413208,16.0,3.096
44,0.23999999463558197,1.8835206031799316,28.0,2.976
45,0.3100000023841858,1.8678693771362305,20.0,2.88
46,0.3100000023841858,1.9183253049850464,24.0,2.776
47,0.3499999940395355,1.7715100049972534,28.0,2.68
48,0.3100000023841858,1.8249565362930298,16.0,2.6
49,0.30000001192092896,1.826991319656372,16.0,2.52
50,0.28999999165534973,1.8179572820663452,16.0,2.416
51,0.23999999463558197,1.9577981233596802,24.0,2.352
