Round,Accuracy,Loss,Dropped Client Ratio
1,0.14000000059604645,2.332209348678589,36.0
2,0.17000000178813934,2.301699638366699,48.0
3,0.09000000357627869,2.3143904209136963,44.0
4,0.10999999940395355,2.305739164352417,28.0
5,0.10999999940395355,2.344773292541504,32.0
6,0.14000000059604645,2.3212392330169678,36.0
7,0.07000000029802322,2.3109278678894043,28.0
8,0.15000000596046448,2.294224977493286,28.0
9,0.05999999865889549,2.3198020458221436,32.0
10,0.05000000074505806,2.367419481277466,52.0
11,0.09000000357627869,2.352648973464966,44.0
12,0.05000000074505806,2.3645501136779785,36.0
13,0.10999999940395355,2.3016421794891357,32.0
14,0.11999999731779099,2.2891297340393066,24.0
15,0.10999999940395355,2.260274648666382,40.0
16,0.15000000596046448,2.2795679569244385,36.0
17,0.09000000357627869,2.3097546100616455,40.0
18,0.05999999865889549,2.3211238384246826,52.0
19,0.10000000149011612,2.3171448707580566,36.0
20,0.10999999940395355,2.315291404724121,40.0
21,0.1599999964237213,2.2714011669158936,36.0
22,0.07999999821186066,2.360750198364258,48.0
23,0.12999999523162842,2.349623203277588,40.0
24,0.07999999821186066,2.3228530883789062,56.0
25,0.10999999940395355,2.343503952026367,40.0
26,0.07999999821186066,2.3237016201019287,32.0
27,0.10999999940395355,2.2704148292541504,48.0
28,0.10999999940395355,2.2517547607421875,48.0
29,0.10999999940395355,2.2780704498291016,48.0
30,0.12999999523162842,2.305122137069702,32.0
31,0.05999999865889549,2.341799736022949,48.0
32,0.10999999940395355,2.326380729675293,40.0
33,0.11999999731779099,2.3013808727264404,36.0
34,0.10999999940395355,2.293264389038086,44.0
35,0.07999999821186066,2.338705539703369,36.0
36,0.05999999865889549,2.3581151962280273,36.0
37,0.18000000715255737,2.288684844970703,56.0
38,0.09000000357627869,2.319106340408325,36.0
39,0.09000000357627869,2.3115015029907227,32.0
40,0.15000000596046448,2.296025276184082,44.0
41,0.10999999940395355,2.2853105068206787,24.0
42,0.03999999910593033,2.3208632469177246,48.0
43,0.11999999731779099,2.2869749069213867,40.0
44,0.1899999976158142,2.248368263244629,40.0
45,0.09000000357627869,2.3056938648223877,52.0
46,0.10000000149011612,2.2862777709960938,52.0
47,0.07999999821186066,2.277369737625122,40.0
48,0.09000000357627869,2.366194009780884,40.0
